id,user_id,area_id,meter_number,created_at,service_status
2,5,1,MTR-0001,"2026-01-11 18:33:24",active
3,15,1,MTR-0002,"2026-01-17 15:24:58",active
10,32,1,MTR-0004,"2026-01-28 16:13:52",active
11,33,2,MTR-0005,"2026-01-30 21:23:59",active
12,34,1,MTR-0006,"2026-01-31 20:01:26",active
13,35,1,MTR-0007,"2026-02-01 11:13:17",active
14,36,2,MTR-0008,"2026-02-07 20:02:44",active
15,37,2,MTR-0009,"2026-02-10 14:10:26",active
21,44,1,MTR-0010,"2026-03-04 20:25:41",active
23,47,1,MTR-0011,"2026-03-04 20:46:05",active
24,48,1,MTR-0012,"2026-03-06 20:47:18",active
